player_id,season,off_per100,off_possessions,def_per100,def_possessions,support,total_per100
P18,synthetic-1,43.263896943438645,128,11.199710564277433,107,ok,54.46360750771608
P15,synthetic-1,38.36419858436178,144,13.737158565241037,107,ok,52.10135714960282
P07,synthetic-1,-0.6384277832832941,112,36.94840286278624,131,ok,36.30997507950295
P20,synthetic-1,8.001009061316026,134,24.776445068095605,124,ok,32.77745412941163
P19,synthetic-1,36.91603931597804,121,-23.675914301549913,120,ok,13.240125014428127
P10,synthetic-1,3.4292126569286636,110,9.80931132550477,112,ok,13.238523982433435
P13,synthetic-1,-4.682389786639892,115,15.92394263659991,116,ok,11.24155284996002
P22,synthetic-1,-1.350769739383559,111,11.465800958330524,147,ok,10.115031218946966
P08,synthetic-1,-9.52786919618487,114,18.16724735176346,117,ok,8.63937815557859
P11,synthetic-1,-9.262402264614744,100,12.948054187459046,119,ok,3.6856519228443023
P04,synthetic-1,10.370758294357941,105,-8.792440017601216,128,ok,1.5783182767567254
P05,synthetic-1,8.921543385673077,123,-9.632993490349472,107,ok,-0.7114501046763948
P23,synthetic-1,-6.788988306061859,132,5.651288851456526,118,ok,-1.1376994546053334
P12,synthetic-1,-9.731728812847273,122,7.691797331737478,127,ok,-2.039931481109795
P21,synthetic-1,2.1582590889603903,135,-6.42411524841098,118,ok,-4.26585615945059
P02,synthetic-1,-2.424962915608899,110,-5.159178821455299,133,ok,-7.584141737064199
P03,synthetic-1,19.232953774606322,121,-37.15341164490847,113,ok,-17.92045787030215
P24,synthetic-1,-17.49938611428176,100,-2.979860144013199,121,ok,-20.479246258294957
P01,synthetic-1,-31.000540773065516,119,7.3833368551533605,133,ok,-23.617203917912157
P17,synthetic-1,-52.38053676524605,135,26.81470638315659,108,ok,-25.56583038208946
P16,synthetic-1,-27.676359269050106,120,-0.3176950728650099,120,ok,-27.994054341915117
P14,synthetic-1,6.312177293600329,124,-36.729310934241695,107,ok,-30.417133640641367
P06,synthetic-1,-24.51232878792022,120,-20.563278306418724,124,ok,-45.07560709433895
P09,synthetic-1,10.636465478661316,125,-55.94905068463902,123,ok,-45.312585205977705
